,Quais foram as suas principais dificuldades para construção do material proposto?,,Resumo
,,,
,A conversão do material técnico para o escrito.,,Escrita
,A busca por boas referências,,Referências
,Entre outras coisas condensar o que estava sendo feito nos artigos par algo mais resumido e que fosse facilmente entendido pelo leitor,,Escrita
,Escrever e procurar boas fontes sobre o assunto. ,,Escrita e Referências
,"A principal dificuldade na construção do material proposto residiu na gestão do tempo, no esforço dedicado e na exigência de uma escrita crítica. O processo demandou extensa pesquisa, revisão constante e refinamento para assegurar a profundidade e abrangência necessárias. O esforço concentrado visava não apenas apresentar informações, mas também analisar criticamente diferentes perspectivas, exigindo habilidades analíticas e argumentativas. Além disso, a adaptação contínua, o gerenciamento eficiente de recursos e a manutenção da coerência ao longo do material foram desafios constantes. A superação dessas dificuldades demandou uma abordagem meticulosa e iterativa, priorizando a qualidade do conteúdo final.",,Tempo e Escrita
,Pesquisa por assuntos que não tinha domínio.,,Pesquisar Conteúdos
,"Entendimento da proposta que deveria ser escrita. Além disso, conciliar o tempo de estudos e trabalhos também com a construção de um capítulo de livro.",,Tempo e Escrita
,"Dificuldades na pesquisa sobre o tema, visto que, é um tema pouco difundido, tendo poucos trabalhos recentes para estudo.",,Pesquisar Conteúdos
,"Fazer com que o texto fosse didático, de forma que quem nunca viu o tema conseguisse compreender e replicar. Além disso, escrever ",,Escrita
,"Escrever, tive dificuldade pois por ter termos muito parecidos, parecia ser muito repetitivo",,Escrita
,"A escrita foi desafiadora, de modo a encontrar a melhor abordagem pra expor o conteúdo desejado.",,Escrita
,Encontrar boas fontes de material e filtrar os conteúdos relevantes,,Referências
,Elaboração de exemplos práticos com linguagem e configuração simples para ajudar na replicação. ,,Construção de Exemplos
,"inserir na rotina o ato de ler atigos e escrever, também tive dificuldade em ter ideias do que escrever e como desenvolver, principalmente sentindo uma insegurança sobre se o que escrevi estava correto ou no rumo",,Tempo e Escrita
,Aquisição de material bibliográfico para compor as referências,,Referências
,Tempo para escrever.,,Tempo
,Organização de tempo e do conteúdo encontrado em artigos e livros.,,Tempo
,O tempo para desenvolver o material.,,Tempo
